path,old_path,status,category,subclass,v29_fate,loc_added,loc_deleted,port_unit
core/lib/multivm/src/versions/vm_virtual_blocks/types/internals/transaction_data.rs,,M,B,feature,identical-to-v29,14,12,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/types/internals/vm_state.rs,,M,B,feature,present,5,13,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/types/l1_batch_env.rs,,M,B,wiring,identical-to-v29,1,2,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/utils/fee.rs,,M,B,wiring,identical-to-v29,6,4,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/utils/l2_blocks.rs,,M,B,wiring,identical-to-v29,2,2,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/utils/overhead.rs,,M,B,wiring,present,1,2,multivm
core/lib/multivm/src/versions/vm_virtual_blocks/vm.rs,,M,B,feature,present,64,50,multivm
core/lib/multivm/src/vm_instance.rs,,M,B,feature,present,211,122,multivm
core/lib/object_store/src/file.rs,,M,B,wiring,present,1,1,object_store
core/lib/object_store/src/objects.rs,,M,B,wiring,present,0,1,object_store
core/lib/object_store/src/raw.rs,,M,B,wiring,present,4,2,object_store
core/lib/object_store/src/retries.rs,,M,B,wiring,present,0,1,object_store
core/lib/protobuf_config/Cargo.toml,,M,B,wiring,moved?:core/node/shared_metrics/Cargo.toml,1,0,protobuf_config
core/lib/protobuf_config/src/api.rs,,M,B,wiring,moved?:core/lib/prover_interface/src/api.rs,9,1,protobuf_config
core/lib/protobuf_config/src/chain.rs,,M,B,wiring,moved?:zkstack_cli/crates/zkstack/src/commands/dev/commands/upgrades/args/chain.rs,1,0,protobuf_config
core/lib/protobuf_config/src/consensus.rs,,M,B,feature,moved?:zkstack_cli/crates/config/src/consensus.rs,56,13,protobuf_config
core/lib/protobuf_config/src/contract_verifier.rs,,M,B,wiring,moved?:core/lib/config/src/configs/contract_verifier.rs,0,10,protobuf_config
core/lib/protobuf_config/src/contracts.rs,,M,B,feature,moved?:zkstack_cli/crates/zkstack/src/commands/dev/commands/contracts.rs,25,0,protobuf_config
core/lib/protobuf_config/src/da_client.rs,,A,A,unmarked-addition,gone,111,0,protobuf_config
core/lib/protobuf_config/src/en.rs,,M,B,feature,moved?:core/node/api_server/src/web3/backend_jsonrpsee/namespaces/en.rs,10,10,protobuf_config
core/lib/protobuf_config/src/eth.rs,,M,B,feature,moved?:core/node/api_server/src/web3/backend_jsonrpsee/namespaces/eth.rs,17,26,protobuf_config
core/lib/protobuf_config/src/experimental.rs,,M,B,feature,moved?:core/lib/config/src/configs/experimental.rs,17,15,protobuf_config
core/lib/protobuf_config/src/external_price_api_client.rs,,M,B,wiring,moved?:core/lib/config/src/configs/external_price_api_client.rs,5,0,protobuf_config
core/lib/protobuf_config/src/general.rs,,M,B,wiring,moved?:zkstack_cli/crates/config/src/general.rs,7,0,protobuf_config
